tripID,vehicle_id,blockID,direction,garage,messageCode,routeNumber
7126593,240,9049,0,ELMO,927,90
7126593,312,9049,0,ELMO,927,90
7126654,209,9043,1,ELMO,929,90
7126654,242,9043,1,ELMO,929,90
7126655,222,9047,1,ELMO,929,90
7126655,325,9047,1,ELMO,929,90
7126798,312,9049,1,ELMO,929,90
7126798,240,9049,1,ELMO,929,90
7127284,121,9067,0,RUBY,907,100
7127284,314,9067,0,RUBY,907,100
7127285,219,9066,0,RUBY,907,100
7127285,110,9066,0,RUBY,907,100
7127286,124,9082,0,RUBY,907,100
7127286,322,9082,0,RUBY,907,100
7127287,417,9015,0,RUBY,892,100
7127287,404,9015,0,RUBY,892,100
7127288,104,9087,0,RUBY,907,100
7127288,321,9087,0,RUBY,907,100
7127290,320,9001,0,RUBY,892,100
7127290,247,9001,0,RUBY,892,100
7127546,229,9025,0,ELMO,892,100
7127546,114,9025,0,ELMO,892,100
7127547,313,9014,0,RUBY,892,100
7127547,221,9014,0,RUBY,892,100
7127548,315,9031,0,ELMO,906,100
7127548,230,9031,0,ELMO,906,100
7127663,109,9010,1,RUBY,893,100
7127663,227,9010,1,RUBY,893,100
7127664,235,9050,1,ELMO,893,100
7127664,249,9050,1,ELMO,893,100
7127665,209,9043,1,ELMO,893,100
7127665,242,9043,1,ELMO,893,100
7127666,306,9018,1,ELMO,891,100
7127666,106,9018,1,ELMO,891,100
7127667,222,9047,1,ELMO,893,100
7127667,325,9047,1,ELMO,893,100
7127668,215,9009,1,RUBY,891,100
7127668,202,9009,1,RUBY,891,100
7127910,315,9031,1,ELMO,891,100
7127910,230,9031,1,ELMO,891,100
7127911,223,9004,1,RUBY,891,100
7127911,107,9004,1,RUBY,891,100
7128218,122,9061,0,RUBY,972,190
7128218,303,9061,0,RUBY,972,190
7128219,532,9069,0,RUBY,972,190
7128219,523,9069,0,RUBY,972,190
7128220,301,9065,0,RUBY,972,190
7128220,246,9065,0,RUBY,972,190
7128426,414,9064,1,RUBY,973,190
7128426,413,9064,1,RUBY,973,190
7128427,303,9061,1,RUBY,973,190
7128427,122,9061,1,RUBY,973,190
7128428,523,9069,1,RUBY,974,190
7128428,532,9069,1,RUBY,974,190
7129359,321,9087,0,RUBY,975,200
7129359,104,9087,0,RUBY,975,200
7129360,203,9084,0,RUBY,975,200
7129360,120,9084,0,RUBY,975,200
7129361,414,9064,0,RUBY,976,200
7129361,413,9064,0,RUBY,976,200
7129362,241,9088,0,RUBY,975,200
7129362,231,9088,0,RUBY,975,200
7129572,120,9084,1,RUBY,978,200
7129572,203,9084,1,RUBY,978,200
7129573,124,9082,1,RUBY,976,200
7129573,322,9082,1,RUBY,976,200
7129574,241,9088,1,RUBY,978,200
7129574,231,9088,1,RUBY,978,200
7129575,414,9064,1,RUBY,978,200
7129575,413,9064,1,RUBY,978,200
7129576,321,9087,1,RUBY,976,200
7129576,104,9087,1,RUBY,976,200
7129578,203,9084,1,RUBY,976,200
7129578,120,9084,1,RUBY,976,200
7130119,532,9069,0,RUBY,970,290
7130119,523,9069,0,RUBY,970,290
7130120,301,9065,0,RUBY,970,290
7130120,246,9065,0,RUBY,970,290
7130121,205,9060,0,RUBY,970,290
7130121,319,9060,0,RUBY,970,290
7130328,319,9060,1,RUBY,968,290
7130328,205,9060,1,RUBY,968,290
